"id","original"
"source_01.docx","产品简介（密闭空间气体检测仪）(1).docx"
"source_02.pdf","基于VMD-CNN-GRU的混合模型用于考虑时空特征的风电短期预测.pdf"
"source_03.pdf","基于计算机视觉自适应深度学习模型开发一款设计最优的实时自动柑橘水果分级分选机.pdf"
"source_04.pdf","基于牛顿-拉夫逊法的优化器一种针对连续优化问题的新型基于种群的元启发式算法.pdf"
"source_05.pdf","基于牛顿-拉夫逊法的优化器在水电站机组运行状态监测的K均值聚类和随机森林优化中的应用.pdf"
"source_06.pdf","基于数据驱动的机械故障研究回顾.pdf"
"source_07.docx","密闭空间气体监测仪V1.0软件源代码.docx"
"source_08.docx","密闭空间气体检测仪产品使用说明书(1).docx"
"source_09.docx","气体传感器监测盒_技术交底书_v2.0.docx"
"source_10.pdf","一种基于多目标牛顿-拉夫逊法的优化器具有基于动态消除的拥挤距离适用于数值基准测试和工程设计问题.pdf"
